prot_organism_1	prot_organism_2	bit-score
NP_011305.1	NP_004209.2	270.0
NP_011305.1	NP_006825.1	104.0
NP_011305.1	XP_016863678.1	69.3
NP_011305.1	NP_775798.2	60.1
NP_011305.1	XP_016868740.1	31.2
NP_011983.1	XP_016877827.1	41.2
NP_011983.1	NP_060904.2	30.8
NP_014912.1	XP_011526902.1	47.0
NP_014912.1	XP_011526902.1	40.0
NP_014912.1	NP_065959.1	35.4
NP_014912.1	NP_065959.1	32.0
NP_014912.1	NP_059830.1	30.8
NP_015175.1	NP_002367.5	212.0
NP_015175.1	XP_016858148.1	110.0
NP_015175.1	NP_976226.1	114.0
NP_015175.1	NP_059995.2	107.0
NP_015175.1	XP_016874525.1	91.7
NP_015175.1	NP_115811.2	79.0
NP_015175.1	NP_114406.1	76.3
NP_015175.1	NP_004432.1	72.8
NP_015175.1	XP_011536527.1	62.0
NP_015175.1	NP_006284.2	58.5
NP_015175.1	XP_005257856.1	52.4
NP_015175.1	NP_001973.2	51.6
NP_015175.1	NP_002949.2	43.5
NP_015175.1	NP_938207.2	42.0
NP_015175.1	NP_065434.1	38.5
NP_015175.1	XP_011522118.1	33.9
NP_012407.2	NP_059995.2	105.0
NP_012407.2	XP_016874525.1	92.4
NP_012407.2	NP_976226.1	87.0
NP_012407.2	NP_002367.5	84.7
NP_012407.2	XP_016858148.1	75.5
NP_012407.2	NP_004432.1	72.0
NP_012407.2	XP_011536527.1	69.3
NP_012407.2	NP_115811.2	68.6
NP_012407.2	XP_005257856.1	63.2
NP_012407.2	NP_001973.2	57.0
NP_012407.2	NP_006284.2	56.2
NP_012407.2	NP_114406.1	53.5
NP_013323.1	NP_059830.1	63.9
NP_013323.1	NP_059830.1	48.5
NP_013323.1	NP_059830.1	42.0
NP_013323.1	NP_059830.1	34.3
NP_013323.1	XP_011526902.1	52.0
NP_013323.1	XP_011526902.1	49.3
NP_013323.1	XP_011526902.1	49.3
NP_013323.1	XP_011526902.1	38.5
NP_013323.1	NP_065959.1	45.1
NP_013323.1	NP_065959.1	37.7
NP_013323.1	NP_065959.1	35.0
NP_013323.1	NP_065959.1	34.7
NP_013323.1	XP_016871952.1	40.8
NP_013323.1	XP_016871952.1	33.9
NP_013323.1	XP_016867294.1	33.5
NP_010643.3	XP_006718627.1	33.5
NP_014926.1	NP_004557.1	44.3
NP_012597.1	NP_003442.2	32.0
NP_012597.1	NP_660149.2	30.8
NP_012597.1	XP_016864898.1	29.6
NP_015232.1	NP_037417.1	39.3
NP_009759.3	XP_005270351.1	60.8
NP_009759.3	XP_016881667.1	48.1
NP_010407.1	NP_002367.5	229.0
NP_010407.1	NP_002367.5	41.2
NP_010407.1	XP_016858148.1	120.0
NP_010407.1	NP_976226.1	95.1
NP_010407.1	NP_114406.1	87.8
NP_010407.1	NP_001973.2	85.1
NP_010407.1	NP_115811.2	84.0
NP_010407.1	NP_059995.2	80.5
NP_010407.1	XP_016874525.1	78.2
NP_010407.1	NP_004432.1	79.3
NP_010407.1	NP_006284.2	72.4
NP_010407.1	NP_002949.2	57.8
NP_010407.1	XP_011536527.1	53.5
NP_010407.1	XP_005257856.1	50.4
NP_010407.1	NP_065434.1	39.3
NP_010407.1	NP_938207.2	39.3
NP_010407.1	XP_011525325.1	34.3
NP_010407.1	XP_011522118.1	33.9
NP_014281.1	XP_016862118.1	32.0
NP_009469.2	NP_001540.2	34.7
NP_009469.2	NP_001539.3	33.1
NP_011768.1	NP_038477.2	84.0
NP_011768.1	NP_005095.1	76.3
NP_011768.1	NP_005095.1	74.7
NP_011768.1	NP_004625.2	68.9
NP_011768.1	XP_016857274.1	45.8
NP_015174.1	NP_065959.1	62.0
NP_015174.1	NP_065959.1	32.7
NP_015174.1	NP_065959.1	30.8
NP_015174.1	XP_016871952.1	49.7
NP_015174.1	XP_016871952.1	41.2
NP_015174.1	NP_059830.1	48.1
NP_015174.1	NP_059830.1	43.9
NP_015174.1	NP_059830.1	36.2
NP_015174.1	NP_059830.1	35.0
NP_015174.1	XP_011526902.1	46.6
NP_015174.1	XP_011526902.1	46.2
NP_015174.1	XP_011526902.1	38.1
NP_015174.1	XP_011526902.1	37.4
NP_015174.1	XP_016867294.1	34.7
NP_015174.1	NP_001785.2	32.0
NP_010232.1	NP_057732.2	72.0
NP_116674.2	NP_068735.1	35.8
NP_116674.2	XP_016882167.1	35.0
NP_010412.1	NP_004557.1	33.9
NP_011975.1	NP_775798.2	32.3
NP_009777.1	NP_004332.2	57.4
NP_009777.1	NP_004332.2	35.0
NP_013954.1	NP_055495.2	32.7
NP_011766.3	NP_055298.2	49.3
NP_011766.3	NP_055298.2	40.8
NP_011766.3	NP_055298.2	38.5
NP_011766.3	NP_003080.2	45.1
NP_011766.3	NP_003243.1	42.4
NP_011766.3	NP_003243.1	41.6
NP_011766.3	NP_003243.1	40.8
NP_011766.3	NP_003243.1	37.4
NP_011766.3	NP_006796.1	39.3
NP_011766.3	NP_057732.2	33.5
NP_015187.1	NP_038477.2	32.7
NP_015187.1	NP_065935.3	31.2
NP_014637.1	NP_443195.1	458.0
NP_014637.1	NP_443195.1	96.3
NP_009403.1	NP_059830.1	65.5
NP_009403.1	NP_059830.1	32.3
NP_009403.1	NP_059830.1	31.2
NP_009403.1	XP_011526902.1	48.9
NP_009403.1	XP_011526902.1	39.7
NP_009403.1	XP_011526902.1	32.3
NP_009403.1	XP_016867294.1	32.3
NP_012864.1	NP_001074318.1	32.0
NP_010670.3	NP_000375.2	29.3
NP_013762.1	NP_624358.2	134.0
NP_013762.1	NP_624358.2	84.3
NP_013762.1	NP_000046.1	32.7
NP_010106.1	NP_003409.1	38.9
NP_009445.2	XP_016874525.1	179.0
NP_009445.2	NP_059995.2	181.0
NP_009445.2	NP_002367.5	143.0
NP_009445.2	XP_016858148.1	90.1
NP_009445.2	NP_976226.1	87.8
NP_009445.2	NP_114406.1	81.3
NP_009445.2	NP_115811.2	82.0
NP_009445.2	NP_006284.2	77.0
NP_009445.2	NP_004432.1	61.2
NP_009445.2	NP_001973.2	55.5
NP_009445.2	NP_002949.2	52.0
NP_009445.2	XP_011536527.1	51.6
NP_009445.2	XP_011536527.1	35.0
NP_009445.2	XP_005257856.1	47.4
NP_009445.2	NP_938207.2	42.7
NP_009445.2	NP_006368.3	38.5
NP_009445.2	NP_065434.1	35.8
NP_009445.2	XP_011525325.1	34.7
NP_012761.1	NP_002367.5	89.0
NP_012761.1	XP_016858148.1	76.3
NP_012761.1	NP_004432.1	65.1
NP_012761.1	NP_114406.1	56.6
NP_012761.1	NP_976226.1	57.0
NP_012761.1	XP_016874525.1	53.1
NP_012761.1	NP_059995.2	47.0
NP_012761.1	NP_002949.2	44.3
NP_012761.1	NP_006284.2	43.5
NP_012761.1	NP_115811.2	42.0
NP_012761.1	XP_011536527.1	39.3
NP_012761.1	NP_065434.1	37.0
NP_012761.1	XP_011522118.1	33.9
NP_013652.1	NP_002727.2	33.1
NP_013413.1	XP_016872573.1	102.0
NP_013413.1	XP_005270351.1	35.0
NP_013413.1	XP_005270351.1	34.7
NP_009718.3	NP_976226.1	110.0
NP_009718.3	NP_002367.5	92.0
NP_009718.3	XP_016858148.1	70.5
NP_009718.3	NP_115811.2	63.9
NP_009718.3	NP_004432.1	61.6
NP_009718.3	XP_016874525.1	56.2
NP_009718.3	XP_011536527.1	55.8
NP_009718.3	NP_001973.2	54.7
NP_009718.3	NP_059995.2	51.2
NP_009718.3	NP_065434.1	47.4
NP_009718.3	NP_006284.2	47.4
NP_009718.3	XP_005257856.1	40.0
NP_009718.3	NP_002949.2	40.0
NP_009718.3	NP_114406.1	33.9
NP_009718.3	XP_011522118.1	32.0
NP_015003.1	NP_002096.1	28.5
NP_014156.2	NP_976063.1	33.1
NP_009823.2	NP_004209.2	99.0
NP_009823.2	NP_006825.1	71.6
NP_009823.2	XP_016863678.1	64.7
NP_009823.2	XP_016868740.1	49.7
NP_009823.2	NP_004216.2	31.2
NP_014505.1	NP_004557.1	60.5
NP_014101.1	NP_976226.1	147.0
NP_014101.1	NP_002367.5	118.0
NP_014101.1	XP_016874525.1	112.0
NP_014101.1	NP_059995.2	97.1
NP_014101.1	NP_004432.1	87.8
NP_014101.1	XP_016858148.1	83.6
NP_014101.1	NP_115811.2	83.6
NP_014101.1	XP_005257856.1	80.1
NP_014101.1	NP_006284.2	73.6
NP_014101.1	XP_011536527.1	73.2
NP_014101.1	NP_001973.2	69.7
NP_014101.1	NP_114406.1	66.6
NP_014101.1	NP_002949.2	60.5
NP_014101.1	XP_011522118.1	52.4
NP_014101.1	NP_938207.2	52.4
NP_014101.1	NP_065434.1	44.3
NP_014101.1	XP_011525325.1	39.7
NP_010068.1	XP_005269687.1	30.4
NP_010068.1	NP_085130.2	30.0
NP_013503.1	NP_005095.1	113.0
NP_013503.1	NP_005095.1	79.7
NP_013503.1	NP_005095.1	76.6
NP_013503.1	NP_005095.1	66.6
NP_013503.1	NP_038477.2	76.3
NP_013503.1	NP_038477.2	45.8
NP_013503.1	NP_004625.2	58.5
NP_013503.1	NP_004625.2	48.5
NP_013503.1	XP_016857274.1	38.5
NP_013503.1	XP_016857274.1	32.7
NP_012151.1	NP_624358.2	38.5
NP_012893.3	NP_008874.2	40.0
NP_012893.3	NP_008874.2	32.7
NP_009381.1	NP_004216.2	50.8
NP_009381.1	NP_004216.2	46.6
NP_009381.1	NP_004216.2	45.8
NP_009381.1	NP_004216.2	45.4
NP_009381.1	NP_004216.2	44.3
NP_009381.1	NP_004216.2	43.5
NP_009381.1	NP_004216.2	43.1
NP_009381.1	NP_004216.2	40.4
NP_009381.1	NP_000375.2	33.5
NP_013059.1	NP_002991.2	383.0
NP_011716.3	XP_011526902.1	42.4
NP_011716.3	XP_016871952.1	35.8
NP_011716.3	NP_059830.1	33.1
NP_011668.3	NP_775798.2	85.1
NP_011668.3	NP_004209.2	81.3
NP_011668.3	NP_006825.1	63.2
NP_011668.3	XP_016863678.1	47.4
NP_011668.3	XP_016868740.1	41.6
NP_010991.3	NP_055572.1	32.0
NP_014955.1	XP_016859938.1	30.8
NP_015504.1	XP_011526902.1	69.3
NP_015504.1	XP_011526902.1	38.5
NP_015504.1	NP_065959.1	65.9
NP_015504.1	NP_065959.1	39.7
NP_015504.1	NP_059830.1	58.2
NP_015504.1	NP_059830.1	53.9
NP_015504.1	NP_059830.1	50.4
NP_015504.1	NP_059830.1	37.0
NP_015504.1	XP_016871952.1	40.0
NP_015504.1	XP_016871952.1	33.9
NP_015504.1	XP_016867294.1	37.4
NP_015504.1	XP_016867294.1	35.4
NP_011794.3	NP_004432.1	31.6
NP_010413.3	XP_016867294.1	43.5
NP_013090.1	XP_011526902.1	46.6
NP_013090.1	XP_011526902.1	36.6
NP_013090.1	NP_065959.1	43.1
NP_013090.1	NP_059830.1	38.5
NP_013090.1	NP_059830.1	34.3
NP_013090.1	NP_059830.1	33.5
NP_013859.1	NP_976226.1	88.6
NP_013859.1	XP_016858148.1	75.1
NP_013859.1	NP_002367.5	73.2
NP_013859.1	NP_115811.2	67.4
NP_013859.1	XP_016874525.1	66.2
NP_013859.1	NP_059995.2	66.6
NP_013859.1	NP_004432.1	55.8
NP_013859.1	NP_001973.2	53.5
NP_013859.1	NP_065434.1	44.7
NP_013859.1	NP_114406.1	43.5
NP_013859.1	XP_005257856.1	42.7
NP_012755.1	XP_016874525.1	212.0
NP_012755.1	NP_059995.2	214.0
NP_012755.1	NP_002367.5	158.0
NP_012755.1	XP_016858148.1	126.0
NP_012755.1	NP_976226.1	109.0
NP_012755.1	NP_004432.1	93.6
NP_012755.1	NP_115811.2	90.5
NP_012755.1	NP_114406.1	88.2
NP_012755.1	NP_006284.2	81.6
NP_012755.1	NP_001973.2	66.2
NP_012755.1	XP_011536527.1	59.3
NP_012755.1	NP_002949.2	54.7
NP_012755.1	NP_938207.2	54.3
NP_012755.1	XP_011525325.1	39.3
NP_012755.1	NP_065434.1	37.7
NP_012755.1	XP_011522118.1	32.3
NP_011689.1	NP_037417.1	31.6
NP_011514.1	NP_001315544.1	112.0
NP_011336.3	NP_002367.5	136.0
NP_011336.3	XP_016858148.1	120.0
NP_011336.3	NP_059995.2	118.0
NP_011336.3	NP_976226.1	107.0
NP_011336.3	XP_016874525.1	100.0
NP_011336.3	NP_114406.1	68.6
NP_011336.3	NP_115811.2	65.5
NP_011336.3	NP_004432.1	63.9
NP_011336.3	XP_011536527.1	60.8
NP_011336.3	NP_006284.2	58.2
NP_011336.3	NP_001973.2	54.3
NP_011336.3	NP_002949.2	48.9
NP_011336.3	XP_005257856.1	48.5
NP_011336.3	NP_065434.1	43.1
NP_011336.3	XP_011522118.1	43.1
NP_012229.1	NP_002367.5	78.6
NP_012229.1	XP_016858148.1	66.2
NP_012229.1	NP_059995.2	60.5
NP_012229.1	NP_976226.1	56.6
NP_012229.1	XP_016874525.1	54.3
NP_012229.1	NP_004432.1	46.6
NP_012229.1	NP_115811.2	44.3
NP_012229.1	XP_005257856.1	43.5
NP_012229.1	NP_114406.1	42.4
NP_012229.1	NP_006284.2	39.3
NP_012229.1	XP_011536527.1	38.5
NP_012229.1	XP_011522118.1	34.7
NP_012229.1	NP_001973.2	30.8
NP_009615.1	NP_002367.5	76.3
NP_009615.1	NP_059995.2	67.8
NP_009615.1	XP_016874525.1	63.2
NP_009615.1	NP_976226.1	62.0
NP_009615.1	XP_016858148.1	57.0
NP_009615.1	NP_114406.1	52.4
NP_009615.1	NP_115811.2	50.1
NP_009615.1	NP_004432.1	42.7
NP_009615.1	NP_001973.2	39.7
NP_009615.1	NP_065434.1	37.4
NP_009615.1	XP_011536527.1	36.2
NP_009615.1	NP_002949.2	35.0
NP_012124.1	NP_006576.2	162.0
NP_012124.1	NP_078961.3	45.1
NP_012124.1	NP_004514.2	31.6
NP_014264.1	NP_851939.1	76.6
NP_014264.1	NP_003593.3	62.8
NP_014587.1	NP_848651.2	48.1
NP_014587.1	NP_892030.3	44.3
NP_014587.1	XP_011543605.1	38.1
NP_014587.1	NP_065091.1	32.3
NP_014704.1	NP_002367.5	92.4
NP_014704.1	XP_016858148.1	72.4
NP_014704.1	NP_059995.2	70.9
NP_014704.1	XP_016874525.1	58.5
NP_014704.1	NP_976226.1	52.0
NP_014704.1	NP_004432.1	44.7
NP_014704.1	XP_005257856.1	42.7
NP_014704.1	NP_115811.2	35.8
NP_014704.1	NP_006284.2	33.9
NP_014704.1	XP_011525325.1	32.3
NP_014704.1	NP_114406.1	32.3
NP_014704.1	XP_011536527.1	31.6
NP_014704.1	NP_002949.2	30.8
NP_009635.1	NP_542157.2	35.0
NP_013552.3	NP_001273304.1	33.9
NP_012728.1	NP_004216.2	68.6
NP_012728.1	NP_660333.2	36.6
NP_012728.1	NP_660333.2	34.3
NP_010811.1	NP_976226.1	146.0
NP_010811.1	XP_005257856.1	111.0
NP_010811.1	XP_016874525.1	106.0
NP_010811.1	NP_002367.5	107.0
NP_010811.1	NP_059995.2	98.2
NP_010811.1	NP_115811.2	84.3
NP_010811.1	NP_004432.1	82.4
NP_010811.1	XP_016858148.1	74.3
NP_010811.1	XP_011536527.1	68.6
NP_010811.1	NP_006284.2	68.2
NP_010811.1	NP_001973.2	67.8
NP_010811.1	NP_114406.1	49.3
NP_010811.1	NP_002949.2	48.9
NP_010811.1	NP_065434.1	45.8
NP_010811.1	XP_011522118.1	43.5
NP_010811.1	NP_938207.2	37.4
NP_012731.1	XP_011512841.1	67.4
NP_012731.1	XP_011513787.1	34.7
NP_012731.1	NP_542157.2	32.7
NP_011852.1	NP_787082.1	385.0
NP_011936.1	NP_057126.2	34.3
NP_012954.3	XP_016857274.1	69.7
NP_012954.3	XP_016857274.1	32.7
NP_012954.3	NP_038477.2	43.5
NP_012954.3	NP_004625.2	36.2
NP_013713.1	NP_006825.1	127.0
NP_013713.1	NP_004209.2	121.0
NP_013713.1	XP_016863678.1	75.5
NP_013713.1	NP_775798.2	48.9
NP_013713.1	XP_016868740.1	45.4
NP_013924.1	XP_005269601.1	89.0
NP_010498.1	NP_006576.2	192.0
NP_010498.1	NP_078961.3	45.4
NP_010498.1	NP_078961.3	43.5
NP_010219.1	NP_862821.1	90.1
NP_010219.1	NP_003333.1	81.3
NP_010219.1	NP_004350.1	73.2
NP_010502.3	XP_016882167.1	63.5
NP_010502.3	XP_016882167.1	57.8
NP_010502.3	XP_016882167.1	56.6
NP_010502.3	XP_016882167.1	55.1
NP_010502.3	XP_016882167.1	55.1
NP_010502.3	XP_016882167.1	54.7
NP_010502.3	XP_016882167.1	51.6
NP_010502.3	XP_016882167.1	51.2
NP_010502.3	XP_016882167.1	47.4
NP_010502.3	XP_016882167.1	47.0
NP_010502.3	XP_016882167.1	45.4
NP_010502.3	XP_016882167.1	32.3
NP_010502.3	NP_003442.2	59.7
NP_010502.3	NP_003442.2	54.3
NP_010502.3	NP_003442.2	52.4
NP_010502.3	NP_003442.2	41.2
NP_010502.3	XP_016873757.1	59.7
NP_010502.3	XP_016873757.1	57.8
NP_010502.3	XP_016873757.1	50.1
NP_010502.3	XP_016873757.1	48.9
NP_010502.3	XP_016873757.1	39.7
NP_010502.3	XP_016873757.1	35.0
NP_010502.3	XP_016873757.1	32.7
NP_010502.3	XP_016882933.1	58.5
NP_010502.3	XP_016882933.1	57.8
NP_010502.3	XP_016882933.1	54.3
NP_010502.3	XP_016882933.1	52.4
NP_010502.3	XP_016882933.1	52.4
NP_010502.3	XP_016882933.1	47.0
NP_010502.3	XP_016882933.1	41.6
NP_010502.3	XP_016882933.1	41.2
NP_010502.3	NP_660149.2	57.8
NP_010502.3	NP_660149.2	49.7
NP_010502.3	NP_660149.2	41.6
NP_010502.3	NP_660149.2	39.3
NP_010502.3	NP_056209.2	57.4
NP_010502.3	NP_056209.2	51.2
NP_010502.3	NP_056209.2	50.4
NP_010502.3	NP_056209.2	48.9
NP_010502.3	NP_056209.2	46.6
NP_010502.3	NP_056209.2	45.8
NP_010502.3	NP_056209.2	45.1
NP_010502.3	NP_056209.2	35.4
NP_010502.3	XP_011512871.1	56.2
NP_010502.3	XP_011512871.1	55.1
NP_010502.3	XP_011512871.1	50.1
NP_010502.3	XP_011512871.1	48.9
NP_010502.3	XP_011512871.1	45.8
NP_010502.3	XP_011512871.1	42.7
NP_010502.3	XP_016882760.1	55.8
NP_010502.3	XP_016882760.1	53.1
NP_010502.3	XP_016882760.1	51.6
NP_010502.3	XP_016882760.1	49.3
NP_010502.3	XP_016882760.1	47.8
NP_010502.3	XP_016882760.1	47.4
NP_010502.3	XP_016882760.1	47.4
NP_010502.3	XP_016882760.1	46.2
NP_010502.3	XP_016882760.1	45.8
NP_010502.3	XP_016882760.1	44.7
NP_010502.3	XP_016882760.1	43.9
NP_010502.3	XP_016882760.1	41.6
NP_010502.3	XP_016882760.1	40.0
NP_010502.3	XP_016882760.1	37.4
NP_010502.3	XP_011524861.1	55.1
NP_010502.3	XP_011524861.1	50.1
NP_010502.3	XP_011524861.1	48.5
NP_010502.3	XP_011524861.1	47.4
NP_010502.3	XP_011524861.1	47.0
NP_010502.3	XP_011524861.1	45.8
NP_010502.3	XP_011524861.1	45.8
NP_010502.3	XP_011524861.1	45.1
NP_010502.3	XP_011524861.1	45.1
NP_010502.3	XP_011524861.1	44.7
NP_010502.3	XP_011524861.1	43.9
NP_010502.3	XP_011524861.1	43.9
NP_010502.3	XP_011524861.1	42.7
NP_010502.3	XP_011524861.1	42.7
NP_010502.3	XP_011524861.1	42.0
NP_010502.3	XP_011524861.1	40.8
NP_010502.3	XP_011524861.1	40.4
NP_010502.3	XP_011524861.1	40.0
NP_010502.3	XP_011524861.1	40.0
NP_010502.3	XP_011524861.1	39.7
NP_010502.3	XP_011524861.1	39.7
NP_010502.3	XP_011524861.1	39.3
NP_010502.3	XP_011524861.1	33.9
NP_010502.3	NP_068735.1	54.3
NP_010502.3	NP_068735.1	52.4
NP_010502.3	NP_068735.1	51.6
NP_010502.3	NP_068735.1	50.1
NP_010502.3	NP_068735.1	49.7
NP_010502.3	NP_068735.1	49.7
